title,series_name,series_n,year_first_published,author_name,num_pages,num_ratings,num_reviews,average_rating,main_genre,saga
Harry Potter and the Sorcerer's Stone,Harry Potter,1.0,2003.0,J.K. Rowling,309.0,8491079,134158,4.48,Fantasy,Saga (first book)
Harry Potter and the Chamber of Secrets,Harry Potter,2.0,1999.0,J.K. Rowling,341.0,3277548,64524,4.43,Fantasy,Saga (continuation)
Harry Potter and the Prisoner of Azkaban,Harry Potter,3.0,2004.0,J.K. Rowling,435.0,3439727,67846,4.58,Fantasy,Saga (continuation)
Harry Potter and the Goblet of Fire,Harry Potter,4.0,2002.0,J.K. Rowling,734.0,3057818,56382,4.57,Fantasy,Saga (continuation)
Harry Potter and the Order of the Phoenix,Harry Potter,5.0,2004.0,J.K. Rowling,870.0,2927014,51572,4.5,Fantasy,Saga (continuation)
Harry Potter and the Half-Blood Prince,Harry Potter,6.0,2006.0,J.K. Rowling,652.0,2834974,47384,4.57,Fantasy,Saga (continuation)
Harry Potter and the Deathly Hallows,Harry Potter,7.0,2007.0,J.K. Rowling,759.0,3240578,74363,4.62,Young Adult,Saga (continuation)
Harry Potter and the Cursed Child: Parts One and Two,Harry Potter,8.0,2016.0,J.K. Rowling,343.0,860531,69310,3.54,Fantasy,Saga (continuation)
The Lightning Thief,Percy Jackson and the Olympians,1.0,2006.0,Rick Riordan,377.0,2435307,75067,4.28,Fantasy,Saga (first book)
The Sea of Monsters,Percy Jackson and the Olympians,2.0,2006.0,Rick Riordan,279.0,926344,34340,4.24,Fantasy,Saga (continuation)
The Titan's Curse,Percy Jackson and the Olympians,3.0,2007.0,Rick Riordan,320.0,842907,27223,4.36,Fantasy,Saga (continuation)
The Battle of the Labyrinth,Percy Jackson and the Olympians,4.0,2008.0,Rick Riordan,361.0,888106,24856,4.41,Fantasy,Saga (continuation)
The Last Olympian,Percy Jackson and the Olympians,5.0,2009.0,Rick Riordan,381.0,813022,29725,4.52,Fantasy,Saga (continuation)
The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones,A Song of Ice and Fire,0.0,2014.0,George R.R. Martin,326.0,29395,2136,4.26,Fiction,Saga (continuation)
A Game of Thrones,A Song of Ice and Fire,1.0,2005.0,George R.R. Martin,835.0,2228706,57619,4.44,Fantasy,Saga (first book)
A Clash of Kings,A Song of Ice and Fire,2.0,2002.0,George R.R. Martin,969.0,850748,25224,4.41,Fantasy,Saga (continuation)
A Storm of Swords,A Song of Ice and Fire,3.0,2003.0,George R.R. Martin,1177.0,713213,23188,4.54,Fantasy,Saga (continuation)
A Feast for Crows,A Song of Ice and Fire,4.0,2011.0,George R.R. Martin,1061.0,673951,22656,4.14,Fantasy,Saga (continuation)
A Dance with Dragons,A Song of Ice and Fire,5.0,2011.0,George R.R. Martin,1125.0,599808,23093,4.32,Fantasy,Saga (continuation)
The Winds of Winter,A Song of Ice and Fire,6.0,,George R.R. Martin,,9595,470,4.4,Fantasy,Saga (continuation)
A Dream of Spring,A Song of Ice and Fire,7.0,,George R.R. Martin,,1980,92,4.37,Fantasy,Saga (continuation)
The Final Empire,The Mistborn Saga,1.0,2006.0,Brandon Sanderson,541.0,506701,36604,4.46,Fantasy,Saga (first book)
